City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bredasdorp,0,ZA,1615070464,77,-34.5322,20.0403,64.4,8.05
Ponta do Sol,40,PT,1615070490,67,32.6667,-17.1,60.8,19.57
Avarua,75,CK,1615070468,78,-21.2078,-159.775,80.6,8.05
Jamestown,90,US,1615070470,95,42.097,-79.2353,26.01,9.89
Moberly,1,US,1615070710,33,39.4184,-92.4382,60.8,6.35
Saint-Philippe,75,RE,1615070468,83,-21.3585,55.7679,77.0,3.44
Arraial do Cabo,100,BR,1615070467,88,-22.9661,-42.0278,75.34,9.82
Ilulissat,90,GL,1615070497,86,69.2167,-51.1,21.2,2.42
Nishihara,90,JP,1615070479,78,26.1842,127.7558,69.8,13.8
Kyra,13,RU,1615070710,87,49.5776,111.9753,6.3,2.84
Mazyr,0,BY,1615070710,87,52.0495,29.2456,27.32,12.57
Castro,6,BR,1615070465,92,-24.7911,-50.0119,63.25,1.25
Vaini,75,TO,1615070465,74,-21.2,-175.2,87.8,14.97
Torbay,40,CA,1615070476,74,47.6666,-52.7314,30.0,11.5
Albany,99,US,1615070463,46,42.6001,-73.9662,25.0,8.5
Kohat,75,PK,1615070645,63,33.582,71.4493,64.4,11.5
Bireun,88,ID,1615070371,74,5.203,96.7009,77.31,4.05
Hobart,0,AU,1615070463,71,-42.8794,147.3294,61.0,8.05
Nago,90,JP,1615070711,94,26.5881,127.9761,69.8,10.36
Mahébourg,75,MU,1615070481,78,-20.4081,57.7,80.6,11.5
Hobyo,28,SO,1615070360,78,5.3505,48.5268,76.75,16.46
Langsa,75,ID,1615070706,87,4.4683,97.9683,73.58,2.17
New Norfolk,64,AU,1615070471,64,-42.7826,147.0587,61.0,4.0
Tiarei,75,PF,1615070494,66,-17.5333,-149.3333,87.01,4.61
Poli,23,TZ,1615070711,69,-3.3333,36.8,62.74,3.65
Hualmay,52,PE,1615070580,74,-11.0964,-77.6139,74.75,10.85
Saskylakh,94,RU,1615070471,85,71.9167,114.0833,-24.07,6.8
George Town,20,MY,1615070473,88,5.4112,100.3354,78.01,2.3
Tenabo,75,MX,1615070711,78,20.05,-90.2333,78.8,17.27
Busselton,24,AU,1615070464,93,-33.65,115.3333,64.0,1.99
Brae,75,GB,1615070712,81,60.3964,-1.353,44.6,11.5
Ushuaia,40,AR,1615070386,54,-54.8,-68.3,51.8,4.61
Atar,12,MR,1615070598,35,20.5169,-13.0499,69.82,11.97
Phan Thiet,46,VN,1615070712,85,10.9333,108.1,69.71,8.1
Okhotsk,0,RU,1615070210,79,59.3833,143.3,-17.7,16.33
Rikitea,12,PF,1615070465,80,-23.1203,-134.9692,80.19,13.33
Kahului,40,US,1615070269,54,20.8947,-156.47,80.6,19.57
Tasiilaq,90,GL,1615070472,86,65.6145,-37.6368,24.8,14.97
